Название организации;Город;Телефон;Ссылка на сайт;Соц. сети
ГорЮрСлужба; Москва;+7 (903) 150-43-49;https://goryur.ru/;[[' telegram', 'https://t.me/79032800284'], [' viber', 'https://viber.click/79032800284'], [' whatsapp', 'https://wa.me/79032800284']]
Балов и партнеры; Ярославль;;http://balovzakon.com/;[[' telegram', 'https://t.me/baloff_bot'], [' vkontakte', 'https://vk.com/balovzakon']]
Адвокат Ивлев Сергей Сергеевич; Оренбург;+7 (3532) 29-61-71;http://advokativlev.ru/;[[' telegram', 'https://t.me/+79123512642'], [' viber', 'https://viber.click/79123512642'], [' vkontakte', 'https://vk.com/advokat_ivlev'], [' whatsapp', 'https://wa.me/79123512642'], [' youtube', 'https://www.youtube.com/channel/UCx7IcrwL--WjiMB9OKLXLHg']]
Белый маркер; Мичуринск;+7 (4752) 42-24-33;https://netdolgam.whitemarker.ru/;[[' ok', 'https://ok.ru/whitemarker'], [' telegram', 'https://t.me/+79276818000'], [' vkontakte', 'https://vk.com/whitemarker'], [' whatsapp', 'https://wa.me/74752422433'], [' youtube', 'https://www.youtube.com/@beliymarker']]
БанкротСервис; Саранск;+7 (917) 068-43-30;https://superbankrot.ru/;[[' ok', 'https://ok.ru/profile/585997055137'], [' telegram', 'https://t.me/79022306060'], [' viber', 'https://viber.click/79022306060'], [' vkontakte', 'https://vk.com/superbankrot'], [' whatsapp', 'https://wa.me/79022306060']]
Центр правовой помощи и судебной защиты; Москва;8 (800) 444-76-40;https://www.pravo.ltd/;[[' viber', 'https://viber.click/79859228326'], [' whatsapp', 'https://wa.me/79859228326'], [' youtube', 'https://www.youtube.com/channel/UCX0KDs3DvmkirhlvHmjrNwQ']]
Глинка, Бессонов и Партнёры; Москва;+7 (495) 414-18-83;https://pravoforyou.ru/;[[' ok', 'https://ok.ru/group/54419311886496'], [' telegram', 'https://t.me/BessonovPartners'], [' vkontakte', 'https://vk.com/pravoforyou'], [' whatsapp', 'https://wa.me/74956499115']]
Ольга Степанова и партнеры; Брянск;+7 (900) 361-69-99;http://банкротствобрянск.рф/;[[' ok', 'https://ok.ru/group54985219178740'], [' telegram', 'https://t.me/79003616999'], [' viber', 'https://viber.click/79003616999'], [' vkontakte', 'https://vk.com/olgastepanova_pro'], [' whatsapp', 'https://wa.me/79003616999'], [' youtube', 'https://www.youtube.com/@StepanovaO']]
Старт; Москва;8 (800) 333-22-79;https://urstart.ru/;[[' vkontakte', 'https://vk.com/urstart'], [' youtube', 'https://www.youtube.com/channel/UCaFzcctTppNurXR2PRd1lYw']]
Двитекс; Москва;+7 (495) 223-48-91;http://www.dvitex.ru/;[]
Шпарвассер и партнёры; Москва;+7 (910) 456-84-52;http://shparwasser.ru/;[[' telegram', 'https://t.me/+79104568452'], [' viber', 'https://viber.click/79104568452'], [' whatsapp', 'https://wa.me/79104568452'], [' youtube', 'https://www.youtube.com/user/01advokat']]
ДаБанкрот; Белгород;8 (800) 222-20-15;https://дабанкрот.рф/белгород/?utm_medium=belg_card&utm_source=yandex;[[' ok', 'https://ok.ru/zhiznbezdo'], [' telegram', 'https://t.me/Dabankrotbot'], [' vkontakte', 'https://vk.com/da_bankrot'], [' whatsapp', 'https://wa.me/79300902015'], [' youtube', 'https://www.youtube.com/@da_bankrot']]
Правовая защита заемщиков; Чебоксары;8 (800) 444-30-21;https://moepravo.org/;[[' ok', 'https://ok.ru/moe.pravo'], [' telegram', 'https://t.me/moepravo_cheb21'], [' viber', 'https://viber.click/79373841484'], [' vkontakte', 'https://vk.com/moepravo_cheb'], [' whatsapp', 'https://wa.me/79373841484'], [' youtube', 'https://www.youtube.com/@moe_pravo']]
Право61; Ростов-на-Дону;+7 (863) 322-60-47;http://pravo61.ru/;[[' ok', 'http://www.odnoklassniki.ru/pravo61'], [' youtube', 'http://youtube.com/@Pravo61'], [' telegram', 'https://t.me/Pravo61'], [' vkontakte', 'https://vk.com/pravo61'], [' whatsapp', 'https://wa.me/79185551661']]
Финон; Москва;+7 (499) 681-62-25;http://finon127.ru/;[[' telegram', 'https://t.me/finon127'], [' vkontakte', 'https://vk.com/finon127'], [' whatsapp', 'https://wa.me/79017699967']]
Выход есть; Тула;+7 (4872) 71-75-92;https://vihod-est.ru/;[[' vkontakte', 'http://vk.com/bankrotstvo71'], [' youtube', 'https://www.youtube.com/channel/UCatSYDPMVkiZJTCvR7slC8A']]
Юридическая компания Давыдовского; Москва;+7 (915) 062-22-11;https://www.dvdv.me/;[[' viber', 'https://viber.click/79150622211'], [' vkontakte', 'https://vk.com/id582447722'], [' whatsapp', 'https://wa.me/79150622211']]
2Лекс; Москва;8 (800) 600-87-49;https://2lex.ru/;[[' ok', 'https://ok.ru/group/54730041458804'], [' vkontakte', 'https://vk.com/bankrotstvo_fizicheskih_lits'], [' youtube', 'https://www.youtube.com/channel/UCuiRlLDJhI1cpVNsFmeR2uQ']]
Хелп Консалтинг; Москва;+7 (495) 150-07-65;https://h-cons.ru/;[[' telegram', 'https://t.me/h_cons_ru'], [' vkontakte', 'https://vk.com/ddu_help'], [' whatsapp', 'https://wa.me/79854872211'], [' youtube', 'https://www.youtube.com/c/helpddu']]
Финлекс; Самара;+7 (927) 212-77-44;http://финлекс.рф/;[[' vkontakte', 'http://vk.com/ffinlex'], [' whatsapp', 'https://wa.me/79272127744'], [' youtube', 'https://www.youtube.com/watch?v=G6vUrF5g8X4']]
Юридическая служба Альфа-М; Москва;+7 (915) 136-06-55;https://juridicheskaja-sluzhba-alfa-m.clients.site/;[]
Юстэк; Волгоград;+7 (902) 360-94-46;https://yustek.ru/;[[' ok', 'http://ok.ru/group/58740495417409'], [' vkontakte', 'https://vk.com/yustek'], [' whatsapp', 'https://wa.me/79023609446']]
Балов и партнеры; Ярославль;;http://balovzakon.com/;[[' telegram', 'https://t.me/baloff_bot'], [' vkontakte', 'https://vk.com/balovzakon']]
Адвокат Ивлев Сергей Сергеевич; Оренбург;+7 (3532) 29-61-71;http://advokativlev.ru/;[[' telegram', 'https://t.me/+79123512642'], [' viber', 'https://viber.click/79123512642'], [' vkontakte', 'https://vk.com/advokat_ivlev'], [' whatsapp', 'https://wa.me/79123512642'], [' youtube', 'https://www.youtube.com/channel/UCx7IcrwL--WjiMB9OKLXLHg']]
Белый маркер; Мичуринск;+7 (4752) 42-24-33;https://netdolgam.whitemarker.ru/;[[' ok', 'https://ok.ru/whitemarker'], [' telegram', 'https://t.me/+79276818000'], [' vkontakte', 'https://vk.com/whitemarker'], [' whatsapp', 'https://wa.me/74752422433'], [' youtube', 'https://www.youtube.com/@beliymarker']]
БанкротСервис; Саранск;+7 (917) 068-43-30;https://superbankrot.ru/;[[' ok', 'https://ok.ru/profile/585997055137'], [' telegram', 'https://t.me/79022306060'], [' viber', 'https://viber.click/79022306060'], [' vkontakte', 'https://vk.com/superbankrot'], [' whatsapp', 'https://wa.me/79022306060']]
Центр правовой помощи и судебной защиты; Москва;8 (800) 444-76-40;https://www.pravo.ltd/;[[' viber', 'https://viber.click/79859228326'], [' whatsapp', 'https://wa.me/79859228326'], [' youtube', 'https://www.youtube.com/channel/UCX0KDs3DvmkirhlvHmjrNwQ']]
Глинка, Бессонов и Партнёры; Москва;+7 (495) 414-18-83;https://pravoforyou.ru/;[[' ok', 'https://ok.ru/group/54419311886496'], [' telegram', 'https://t.me/BessonovPartners'], [' vkontakte', 'https://vk.com/pravoforyou'], [' whatsapp', 'https://wa.me/74956499115']]
Ольга Степанова и партнеры; Брянск;+7 (900) 361-69-99;http://банкротствобрянск.рф/;[[' ok', 'https://ok.ru/group54985219178740'], [' telegram', 'https://t.me/79003616999'], [' viber', 'https://viber.click/79003616999'], [' vkontakte', 'https://vk.com/olgastepanova_pro'], [' whatsapp', 'https://wa.me/79003616999'], [' youtube', 'https://www.youtube.com/@StepanovaO']]
Старт; Москва;8 (800) 333-22-79;https://urstart.ru/;[[' vkontakte', 'https://vk.com/urstart'], [' youtube', 'https://www.youtube.com/channel/UCaFzcctTppNurXR2PRd1lYw']]
Двитекс; Москва;+7 (495) 223-48-91;http://www.dvitex.ru/;[]
Шпарвассер и партнёры; Москва;+7 (910) 456-84-52;http://shparwasser.ru/;[[' telegram', 'https://t.me/+79104568452'], [' viber', 'https://viber.click/79104568452'], [' whatsapp', 'https://wa.me/79104568452'], [' youtube', 'https://www.youtube.com/user/01advokat']]
ДаБанкрот; Белгород;8 (800) 222-20-15;https://дабанкрот.рф/белгород/?utm_medium=belg_card&utm_source=yandex;[[' ok', 'https://ok.ru/zhiznbezdo'], [' telegram', 'https://t.me/Dabankrotbot'], [' vkontakte', 'https://vk.com/da_bankrot'], [' whatsapp', 'https://wa.me/79300902015'], [' youtube', 'https://www.youtube.com/@da_bankrot']]
Правовая защита заемщиков; Чебоксары;8 (800) 444-30-21;https://moepravo.org/;[[' ok', 'https://ok.ru/moe.pravo'], [' telegram', 'https://t.me/moepravo_cheb21'], [' viber', 'https://viber.click/79373841484'], [' vkontakte', 'https://vk.com/moepravo_cheb'], [' whatsapp', 'https://wa.me/79373841484'], [' youtube', 'https://www.youtube.com/@moe_pravo']]
Право61; Ростов-на-Дону;+7 (863) 322-60-47;http://pravo61.ru/;[[' ok', 'http://www.odnoklassniki.ru/pravo61'], [' youtube', 'http://youtube.com/@Pravo61'], [' telegram', 'https://t.me/Pravo61'], [' vkontakte', 'https://vk.com/pravo61'], [' whatsapp', 'https://wa.me/79185551661']]
Финон; Москва;+7 (499) 681-62-25;http://finon127.ru/;[[' telegram', 'https://t.me/finon127'], [' vkontakte', 'https://vk.com/finon127'], [' whatsapp', 'https://wa.me/79017699967']]
Выход есть; Тула;+7 (4872) 71-75-92;https://vihod-est.ru/;[[' vkontakte', 'http://vk.com/bankrotstvo71'], [' youtube', 'https://www.youtube.com/channel/UCatSYDPMVkiZJTCvR7slC8A']]
Юридическая компания Давыдовского; Москва;+7 (915) 062-22-11;https://www.dvdv.me/;[[' viber', 'https://viber.click/79150622211'], [' vkontakte', 'https://vk.com/id582447722'], [' whatsapp', 'https://wa.me/79150622211']]
2Лекс; Москва;8 (800) 600-87-49;https://2lex.ru/;[[' ok', 'https://ok.ru/group/54730041458804'], [' vkontakte', 'https://vk.com/bankrotstvo_fizicheskih_lits'], [' youtube', 'https://www.youtube.com/channel/UCuiRlLDJhI1cpVNsFmeR2uQ']]
Хелп Консалтинг; Москва;+7 (495) 150-07-65;https://h-cons.ru/;[[' telegram', 'https://t.me/h_cons_ru'], [' vkontakte', 'https://vk.com/ddu_help'], [' whatsapp', 'https://wa.me/79854872211'], [' youtube', 'https://www.youtube.com/c/helpddu']]
Финлекс; Самара;+7 (927) 212-77-44;http://финлекс.рф/;[[' vkontakte', 'http://vk.com/ffinlex'], [' whatsapp', 'https://wa.me/79272127744'], [' youtube', 'https://www.youtube.com/watch?v=G6vUrF5g8X4']]
Юридическая служба Альфа-М; Москва;+7 (915) 136-06-55;https://juridicheskaja-sluzhba-alfa-m.clients.site/;[]
Юстэк; Волгоград;+7 (902) 360-94-46;https://yustek.ru/;[[' ok', 'http://ok.ru/group/58740495417409'], [' vkontakte', 'https://vk.com/yustek'], [' whatsapp', 'https://wa.me/79023609446']]
Бизнес-юрист; Краснодар;8 (800) 600-37-40;https://b-urist.ru/;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Банкрот Баланс; Орехово-Зуево;+7 (901) 731-58-75;http://bankrotbalance.ru/;[[' ok', 'https://ok.ru/aleksey.ragulsky'], [' telegram', 'https://t.me/79778355805'], [' viber', 'https://viber.click/79850279721'], [' vkontakte', 'https://vk.com/bankrotbalance'], [' whatsapp', 'https://wa.me/79778355805'], [' youtube', 'https://www.youtube.com/channel/UC679eR62pZ9a3oHeyaKIB5w/videos']]
Современная Защита; Москва;8 (800) 301-48-71;http://sovz.ru/;[[' ok', 'https://ok.ru/group/53567870664904'], [' telegram', 'https://t.me/sovz_ru'], [' youtube', 'https://www.youtube.com/channel/UCjGwtt9SB5AS8J0r5zk8i6Q']]
Экспертно-правовой центр; Альметьевск;+7 (950) 949-44-35;https://epcrt.ru/;[[' vkontakte', 'https://vk.com/club74531581'], [' youtube', 'https://youtube.com/@epcrt']]
БанкротСервис; Саранск;+7 (917) 068-43-30;https://superbankrot.ru/;[[' ok', 'https://ok.ru/profile/585997055137'], [' telegram', 'https://t.me/79022306060'], [' viber', 'https://viber.click/79022306060'], [' vkontakte', 'https://vk.com/superbankrot'], [' whatsapp', 'https://wa.me/79022306060']]
Центр правовой помощи и судебной защиты; Москва;8 (800) 444-76-40;https://www.pravo.ltd/;[[' viber', 'https://viber.click/79859228326'], [' whatsapp', 'https://wa.me/79859228326'], [' youtube', 'https://www.youtube.com/channel/UCX0KDs3DvmkirhlvHmjrNwQ']]
Глинка, Бессонов и Партнёры; Москва;+7 (495) 414-18-83;https://pravoforyou.ru/;[[' ok', 'https://ok.ru/group/54419311886496'], [' telegram', 'https://t.me/BessonovPartners'], [' vkontakte', 'https://vk.com/pravoforyou'], [' whatsapp', 'https://wa.me/74956499115']]
Ольга Степанова и партнеры; Брянск;+7 (900) 361-69-99;http://банкротствобрянск.рф/;[[' ok', 'https://ok.ru/group54985219178740'], [' telegram', 'https://t.me/79003616999'], [' viber', 'https://viber.click/79003616999'], [' vkontakte', 'https://vk.com/olgastepanova_pro'], [' whatsapp', 'https://wa.me/79003616999'], [' youtube', 'https://www.youtube.com/@StepanovaO']]
Старт; Москва;8 (800) 333-22-79;https://urstart.ru/;[[' vkontakte', 'https://vk.com/urstart'], [' youtube', 'https://www.youtube.com/channel/UCaFzcctTppNurXR2PRd1lYw']]
Двитекс; Москва;+7 (495) 223-48-91;http://www.dvitex.ru/;[]
Шпарвассер и партнёры; Москва;+7 (910) 456-84-52;http://shparwasser.ru/;[[' telegram', 'https://t.me/+79104568452'], [' viber', 'https://viber.click/79104568452'], [' whatsapp', 'https://wa.me/79104568452'], [' youtube', 'https://www.youtube.com/user/01advokat']]
ДаБанкрот; Белгород;8 (800) 222-20-15;https://дабанкрот.рф/белгород/?utm_medium=belg_card&utm_source=yandex;[[' ok', 'https://ok.ru/zhiznbezdo'], [' telegram', 'https://t.me/Dabankrotbot'], [' vkontakte', 'https://vk.com/da_bankrot'], [' whatsapp', 'https://wa.me/79300902015'], [' youtube', 'https://www.youtube.com/@da_bankrot']]
Правовая защита заемщиков; Чебоксары;8 (800) 444-30-21;https://moepravo.org/;[[' ok', 'https://ok.ru/moe.pravo'], [' telegram', 'https://t.me/moepravo_cheb21'], [' viber', 'https://viber.click/79373841484'], [' vkontakte', 'https://vk.com/moepravo_cheb'], [' whatsapp', 'https://wa.me/79373841484'], [' youtube', 'https://www.youtube.com/@moe_pravo']]
Право61; Ростов-на-Дону;+7 (863) 322-60-47;http://pravo61.ru/;[[' ok', 'http://www.odnoklassniki.ru/pravo61'], [' youtube', 'http://youtube.com/@Pravo61'], [' telegram', 'https://t.me/Pravo61'], [' vkontakte', 'https://vk.com/pravo61'], [' whatsapp', 'https://wa.me/79185551661']]
Финон; Москва;+7 (499) 681-62-25;http://finon127.ru/;[[' telegram', 'https://t.me/finon127'], [' vkontakte', 'https://vk.com/finon127'], [' whatsapp', 'https://wa.me/79017699967']]
Выход есть; Тула;+7 (4872) 71-75-92;https://vihod-est.ru/;[[' vkontakte', 'http://vk.com/bankrotstvo71'], [' youtube', 'https://www.youtube.com/channel/UCatSYDPMVkiZJTCvR7slC8A']]
Юридическая компания Давыдовского; Москва;+7 (915) 062-22-11;https://www.dvdv.me/;[[' viber', 'https://viber.click/79150622211'], [' vkontakte', 'https://vk.com/id582447722'], [' whatsapp', 'https://wa.me/79150622211']]
2Лекс; Москва;8 (800) 600-87-49;https://2lex.ru/;[[' ok', 'https://ok.ru/group/54730041458804'], [' vkontakte', 'https://vk.com/bankrotstvo_fizicheskih_lits'], [' youtube', 'https://www.youtube.com/channel/UCuiRlLDJhI1cpVNsFmeR2uQ']]
Хелп Консалтинг; Москва;+7 (495) 150-07-65;https://h-cons.ru/;[[' telegram', 'https://t.me/h_cons_ru'], [' vkontakte', 'https://vk.com/ddu_help'], [' whatsapp', 'https://wa.me/79854872211'], [' youtube', 'https://www.youtube.com/c/helpddu']]
Финлекс; Самара;+7 (927) 212-77-44;http://финлекс.рф/;[[' vkontakte', 'http://vk.com/ffinlex'], [' whatsapp', 'https://wa.me/79272127744'], [' youtube', 'https://www.youtube.com/watch?v=G6vUrF5g8X4']]
Юридическая служба Альфа-М; Москва;+7 (915) 136-06-55;https://juridicheskaja-sluzhba-alfa-m.clients.site/;[]
Юстэк; Волгоград;+7 (902) 360-94-46;https://yustek.ru/;[[' ok', 'http://ok.ru/group/58740495417409'], [' vkontakte', 'https://vk.com/yustek'], [' whatsapp', 'https://wa.me/79023609446']]
Бизнес-юрист; Краснодар;8 (800) 600-37-40;https://b-urist.ru/;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Банкрот Баланс; Орехово-Зуево;+7 (901) 731-58-75;http://bankrotbalance.ru/;[[' ok', 'https://ok.ru/aleksey.ragulsky'], [' telegram', 'https://t.me/79778355805'], [' viber', 'https://viber.click/79850279721'], [' vkontakte', 'https://vk.com/bankrotbalance'], [' whatsapp', 'https://wa.me/79778355805'], [' youtube', 'https://www.youtube.com/channel/UC679eR62pZ9a3oHeyaKIB5w/videos']]
Современная Защита; Москва;8 (800) 301-48-71;http://sovz.ru/;[[' ok', 'https://ok.ru/group/53567870664904'], [' telegram', 'https://t.me/sovz_ru'], [' youtube', 'https://www.youtube.com/channel/UCjGwtt9SB5AS8J0r5zk8i6Q']]
Экспертно-правовой центр; Альметьевск;+7 (950) 949-44-35;https://epcrt.ru/;[[' vkontakte', 'https://vk.com/club74531581'], [' youtube', 'https://youtube.com/@epcrt']]
Гарант; Москва;+7 (495) 120-59-98;https://garantlc.ru/;[[' telegram', 'https://t.me/uk_garant'], [' vkontakte', 'https://vk.com/garantlc'], [' whatsapp', 'https://wa.me/79148427842']]
БоссБанкрот; Уфа;+7 (927) 945-47-03;https://bossbankrot.ru/;[[' telegram', 'https://t.me/bossbankrot'], [' vkontakte', 'https://vk.com/probankrotctvo'], [' whatsapp', 'https://wa.me/79279454703'], [' youtube', 'https://youtube.com/@Bossbankrot']]
Адвокат Великий О.В.; Москва;+7 (901) 417-38-23;http://advocatvelikiy.ru/;[[' whatsapp', 'https://wa.me/79168065424']]
Шпарвассер и партнёры; Москва;+7 (910) 456-84-52;http://shparwasser.ru/;[[' telegram', 'https://t.me/+79104568452'], [' viber', 'https://viber.click/79104568452'], [' whatsapp', 'https://wa.me/79104568452'], [' youtube', 'https://www.youtube.com/user/01advokat']]
ДаБанкрот; Белгород;8 (800) 222-20-15;https://дабанкрот.рф/белгород/?utm_medium=belg_card&utm_source=yandex;[[' ok', 'https://ok.ru/zhiznbezdo'], [' telegram', 'https://t.me/Dabankrotbot'], [' vkontakte', 'https://vk.com/da_bankrot'], [' whatsapp', 'https://wa.me/79300902015'], [' youtube', 'https://www.youtube.com/@da_bankrot']]
Правовая защита заемщиков; Чебоксары;8 (800) 444-30-21;https://moepravo.org/;[[' ok', 'https://ok.ru/moe.pravo'], [' telegram', 'https://t.me/moepravo_cheb21'], [' viber', 'https://viber.click/79373841484'], [' vkontakte', 'https://vk.com/moepravo_cheb'], [' whatsapp', 'https://wa.me/79373841484'], [' youtube', 'https://www.youtube.com/@moe_pravo']]
Право61; Ростов-на-Дону;+7 (863) 322-60-47;http://pravo61.ru/;[[' ok', 'http://www.odnoklassniki.ru/pravo61'], [' youtube', 'http://youtube.com/@Pravo61'], [' telegram', 'https://t.me/Pravo61'], [' vkontakte', 'https://vk.com/pravo61'], [' whatsapp', 'https://wa.me/79185551661']]
Финон; Москва;+7 (499) 681-62-25;http://finon127.ru/;[[' telegram', 'https://t.me/finon127'], [' vkontakte', 'https://vk.com/finon127'], [' whatsapp', 'https://wa.me/79017699967']]
Выход есть; Тула;+7 (4872) 71-75-92;https://vihod-est.ru/;[[' vkontakte', 'http://vk.com/bankrotstvo71'], [' youtube', 'https://www.youtube.com/channel/UCatSYDPMVkiZJTCvR7slC8A']]
Юридическая компания Давыдовского; Москва;+7 (915) 062-22-11;https://www.dvdv.me/;[[' viber', 'https://viber.click/79150622211'], [' vkontakte', 'https://vk.com/id582447722'], [' whatsapp', 'https://wa.me/79150622211']]
2Лекс; Москва;8 (800) 600-87-49;https://2lex.ru/;[[' ok', 'https://ok.ru/group/54730041458804'], [' vkontakte', 'https://vk.com/bankrotstvo_fizicheskih_lits'], [' youtube', 'https://www.youtube.com/channel/UCuiRlLDJhI1cpVNsFmeR2uQ']]
Хелп Консалтинг; Москва;+7 (495) 150-07-65;https://h-cons.ru/;[[' telegram', 'https://t.me/h_cons_ru'], [' vkontakte', 'https://vk.com/ddu_help'], [' whatsapp', 'https://wa.me/79854872211'], [' youtube', 'https://www.youtube.com/c/helpddu']]
Финлекс; Самара;+7 (927) 212-77-44;http://финлекс.рф/;[[' vkontakte', 'http://vk.com/ffinlex'], [' whatsapp', 'https://wa.me/79272127744'], [' youtube', 'https://www.youtube.com/watch?v=G6vUrF5g8X4']]
Юридическая служба Альфа-М; Москва;+7 (915) 136-06-55;https://juridicheskaja-sluzhba-alfa-m.clients.site/;[]
Юстэк; Волгоград;+7 (902) 360-94-46;https://yustek.ru/;[[' ok', 'http://ok.ru/group/58740495417409'], [' vkontakte', 'https://vk.com/yustek'], [' whatsapp', 'https://wa.me/79023609446']]
Бизнес-юрист; Краснодар;8 (800) 600-37-40;https://b-urist.ru/;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Банкрот Баланс; Орехово-Зуево;+7 (901) 731-58-75;http://bankrotbalance.ru/;[[' ok', 'https://ok.ru/aleksey.ragulsky'], [' telegram', 'https://t.me/79778355805'], [' viber', 'https://viber.click/79850279721'], [' vkontakte', 'https://vk.com/bankrotbalance'], [' whatsapp', 'https://wa.me/79778355805'], [' youtube', 'https://www.youtube.com/channel/UC679eR62pZ9a3oHeyaKIB5w/videos']]
Современная Защита; Москва;8 (800) 301-48-71;http://sovz.ru/;[[' ok', 'https://ok.ru/group/53567870664904'], [' telegram', 'https://t.me/sovz_ru'], [' youtube', 'https://www.youtube.com/channel/UCjGwtt9SB5AS8J0r5zk8i6Q']]
Экспертно-правовой центр; Альметьевск;+7 (950) 949-44-35;https://epcrt.ru/;[[' vkontakte', 'https://vk.com/club74531581'], [' youtube', 'https://youtube.com/@epcrt']]
Гарант; Москва;+7 (495) 120-59-98;https://garantlc.ru/;[[' telegram', 'https://t.me/uk_garant'], [' vkontakte', 'https://vk.com/garantlc'], [' whatsapp', 'https://wa.me/79148427842']]
БоссБанкрот; Уфа;+7 (927) 945-47-03;https://bossbankrot.ru/;[[' telegram', 'https://t.me/bossbankrot'], [' vkontakte', 'https://vk.com/probankrotctvo'], [' whatsapp', 'https://wa.me/79279454703'], [' youtube', 'https://youtube.com/@Bossbankrot']]
Адвокат Великий О.В.; Москва;+7 (901) 417-38-23;http://advocatvelikiy.ru/;[[' whatsapp', 'https://wa.me/79168065424']]
Правосудие; Курск;+7 (4712) 77-02-65;https://юц-правосудие.рф/;[[' ok', 'https://ok.ru/uc.pravosudie'], [' telegram', 'https://t.me/uc_pravosudie31'], [' viber', 'https://viber.click/79513236836'], [' vkontakte', 'https://vk.com/uc_pravosudie'], [' whatsapp', 'https://wa.me/79513236836'], [' youtube', 'https://www.youtube.com/@uc-pravosudie31']]
Инока; Москва;+7 (495) 124-80-69;https://inoka.ru/;[[' telegram', 'https://t.me/vladimir_inoka'], [' whatsapp', 'https://wa.me/79995772888'], [' youtube', 'https://www.youtube.com/@user-xe1nz2uo3u']]
Шалаевский и партнеры; Вологда;+7 (911) 501-08-88;;[[' ok', 'https://ok.ru/nikolay.shalaevsky'], [' telegram', 'https://t.me/89115010888'], [' viber', 'https://viber.click/89115010888'], [' vkontakte', 'https://vk.com/vk500888'], [' whatsapp', 'https://wa.me/89115010888'], [' youtube', 'https://www.youtube.com/channel/UCdf-x20RNpC6KjCdfPAwWDA']]
Адвокат С. Г. Лыткин; Москва;+7 (916) 872-35-05;http://www.sudprof.ru/;[]
АВТ Консалтинг; Москва;+7 (495) 120-32-68;https://www.avtconsulting.ru/;[[' vkontakte', 'https://vk.com/club160728496'], [' youtube', 'https://www.youtube.com/channel/UCXSj9KOW9aGEOzOeCCNH4Pw']]
Династия; Москва;+7 (916) 191-18-70;https://dinasti9.com/;[[' youtube', 'http://youtube.com/channel/UC7WiDnSVAKEuxVvYyQ22zFg'], [' ok', 'https://ok.ru/group/58861068812386'], [' telegram', 'https://t.me/ngrigory'], [' whatsapp', 'https://wa.me/79161911870']]
Правовая защита заемщиков; Чебоксары;8 (800) 444-30-21;https://moepravo.org/;[[' ok', 'https://ok.ru/moe.pravo'], [' telegram', 'https://t.me/moepravo_cheb21'], [' viber', 'https://viber.click/79373841484'], [' vkontakte', 'https://vk.com/moepravo_cheb'], [' whatsapp', 'https://wa.me/79373841484'], [' youtube', 'https://www.youtube.com/@moe_pravo']]
Право61; Ростов-на-Дону;+7 (863) 322-60-47;http://pravo61.ru/;[[' ok', 'http://www.odnoklassniki.ru/pravo61'], [' youtube', 'http://youtube.com/@Pravo61'], [' telegram', 'https://t.me/Pravo61'], [' vkontakte', 'https://vk.com/pravo61'], [' whatsapp', 'https://wa.me/79185551661']]
Финон; Москва;+7 (499) 681-62-25;http://finon127.ru/;[[' telegram', 'https://t.me/finon127'], [' vkontakte', 'https://vk.com/finon127'], [' whatsapp', 'https://wa.me/79017699967']]
Выход есть; Тула;+7 (4872) 71-75-92;https://vihod-est.ru/;[[' vkontakte', 'http://vk.com/bankrotstvo71'], [' youtube', 'https://www.youtube.com/channel/UCatSYDPMVkiZJTCvR7slC8A']]
Юридическая компания Давыдовского; Москва;+7 (915) 062-22-11;https://www.dvdv.me/;[[' viber', 'https://viber.click/79150622211'], [' vkontakte', 'https://vk.com/id582447722'], [' whatsapp', 'https://wa.me/79150622211']]
2Лекс; Москва;8 (800) 600-87-49;https://2lex.ru/;[[' ok', 'https://ok.ru/group/54730041458804'], [' vkontakte', 'https://vk.com/bankrotstvo_fizicheskih_lits'], [' youtube', 'https://www.youtube.com/channel/UCuiRlLDJhI1cpVNsFmeR2uQ']]
Хелп Консалтинг; Москва;+7 (495) 150-07-65;https://h-cons.ru/;[[' telegram', 'https://t.me/h_cons_ru'], [' vkontakte', 'https://vk.com/ddu_help'], [' whatsapp', 'https://wa.me/79854872211'], [' youtube', 'https://www.youtube.com/c/helpddu']]
Финлекс; Самара;+7 (927) 212-77-44;http://финлекс.рф/;[[' vkontakte', 'http://vk.com/ffinlex'], [' whatsapp', 'https://wa.me/79272127744'], [' youtube', 'https://www.youtube.com/watch?v=G6vUrF5g8X4']]
Юридическая служба Альфа-М; Москва;+7 (915) 136-06-55;https://juridicheskaja-sluzhba-alfa-m.clients.site/;[]
Юстэк; Волгоград;+7 (902) 360-94-46;https://yustek.ru/;[[' ok', 'http://ok.ru/group/58740495417409'], [' vkontakte', 'https://vk.com/yustek'], [' whatsapp', 'https://wa.me/79023609446']]
